UserID,avg_login_attempts,std_login_attempts,avg_transaction_count,std_transaction_count,avg_transaction_velocity,std_transaction_velocity,preferred_transaction_type,preferred_location,preferred_hour,unique_locations,unique_ip_subnets,transaction_frequency,fraud_history,fraud_rate,anomaly_score,is_anomalous
USER_1004,2.3333333333333335,1.1547005383792515,4.0,2.6457513110645907,0.8565406283533638,0.49760249227424214,0.0,0.0,18.0,3.0,2.0,3.0,0.0,0.0,0.10024926409835438,0
USER_1005,1.0,0.0,8.0,1.0,0.3605246490184469,0.21023401919263138,0.0,1.0,5.0,3.0,3.0,3.0,0.0,0.0,0.04850175738546997,0
USER_1010,2.1666666666666665,0.752772652709081,2.5,3.6742346141747673,0.7394597958207237,0.5366323110595188,1.0,0.0,17.0,6.0,4.0,6.0,0.0,0.0,-0.02284390552137816,1
USER_1012,2.5,0.5773502691896257,2.5,0.5773502691896257,0.7753239545485033,0.5029302142476095,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.09185168720177694,0
USER_1017,2.3333333333333335,1.1547005383792515,4.0,1.7320508075688772,0.5694125672530398,0.3613441765563961,0.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,0.1274229028508202,0
USER_1023,1.75,0.9574271077563381,5.25,3.4034296427770228,0.8662805667523418,0.46375050733065803,0.0,6.0,15.0,3.0,2.0,4.0,0.0,0.0,0.09840032029139995,0
USER_1026,2.0,1.0,6.666666666666667,2.516611478423583,0.5784059793899398,0.4167157996068227,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.14376061546616054,0
USER_1027,2.2857142857142856,0.7559289460184545,5.285714285714286,2.811540841738193,0.9193421016982598,0.3852514538800927,1.0,9.0,0.0,4.0,4.0,7.0,0.0,0.0,0.012017782433909274,0
USER_1032,2.0,1.0,11.0,6.557438524302,2.405453208479267,2.2476157334399858,0.0,3.0,5.0,3.0,3.0,3.0,1.0,0.3333333333333333,-0.05338849132415646,1
USER_1033,1.0,0.0,4.0,4.358898943540674,0.8337475360111427,0.4037218795333325,2.0,3.0,17.0,3.0,3.0,3.0,0.0,0.0,0.04249549810683362,0
USER_1034,2.6666666666666665,1.5275252316519468,9.333333333333334,1.5275252316519468,0.764089935814952,0.6085679554004205,0.0,1.0,3.0,3.0,3.0,3.0,1.0,0.3333333333333333,0.08867576677598926,0
USER_1037,2.3333333333333335,1.5275252316519468,5.333333333333333,4.041451884327381,0.9629762174071876,0.169961069774694,0.0,6.0,9.0,2.0,2.0,3.0,1.0,0.3333333333333333,0.0890322517381722,0
USER_1038,1.6666666666666667,1.1547005383792517,6.666666666666667,4.163331998932266,0.4092207602698974,0.4363716986611298,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0883586780673612,0
USER_1039,2.5,1.0,5.0,3.4641016151377544,0.8308102580557921,0.44658936597228094,0.0,2.0,20.0,3.0,3.0,4.0,0.0,0.0,0.10884714218832914,0
USER_1043,2.0,0.0,8.333333333333334,2.081665999466133,0.9140509341469519,0.2115205648216729,0.0,0.0,10.0,3.0,3.0,3.0,0.0,0.0,0.0967623411816198,0
