userId,transactionId,transactionType,loginAttempts,transactionCount,transactionVelocity,location,timestamp,lastTransactionTime,lastTransaction,utility,ipAddress,fraud
USER_1860,TXN_000001,UPI,1,8,0.9381218778758512,Delhi,2025-08-08T05:59:19.610182,19,Shopping,Payment,192.168.215.75,0
USER_9322,TXN_000002,Debit Card,1,2,1.1107982811735546,Delhi,2025-08-08T05:59:19.610768,21,Shopping,Payment,192.168.161.204,0
USER_7396,TXN_000003,Credit Card,1,3,0.6354467877740277,Chennai,2025-08-08T05:59:19.610768,3,Shopping,Payment,192.168.229.51,0
USER_6393,TXN_000004,Credit Card,2,2,0.6395831035558824,Delhi,2025-08-08T05:59:19.610768,2,Shopping,Payment,192.168.84.92,0
USER_1775,TXN_000005,UPI,1,1,0.46229197424002366,Chennai,2025-08-08T05:59:19.610768,2,Shopping,Payment,192.168.254.134,0
USER_4843,TXN_000006,Debit Card,1,2,1.1851859527055604,Delhi,2025-08-08T05:59:19.610768,10,Shopping,Payment,192.168.190.228,0
USER_8629,TXN_000007,UPI,2,9,1.4456408340890887,Kolkata,2025-08-08T05:59:19.611665,16,Shopping,Payment,192.168.237.82,0
USER_5887,TXN_000008,Debit Card,1,9,0.5147829079857154,Kolkata,2025-08-08T05:59:19.611877,1,Shopping,Payment,192.168.89.71,0
USER_3027,TXN_000009,UPI,1,3,1.0896002813866639,Bangalore,2025-08-08T05:59:19.611877,35,Shopping,Payment,192.168.33.123,0
USER_7184,TXN_000010,UPI,1,8,0.7292309437934846,Mumbai,2025-08-08T05:59:19.611877,23,Shopping,Payment,192.168.62.216,0
USER_3731,TXN_000011,Debit Card,1,3,0.761100895226729,Kolkata,2025-08-08T05:59:19.611877,47,Shopping,Payment,192.168.206.131,0
USER_8385,TXN_000012,UPI,1,7,0.15660702535380389,Delhi,2025-08-08T05:59:19.611877,42,Shopping,Payment,192.168.124.205,0
USER_1863,TXN_000013,UPI,1,4,0.888585800766937,Chennai,2025-08-08T05:59:19.611877,30,Shopping,Payment,192.168.229.151,0
USER_2678,TXN_000014,UPI,1,4,1.4199949987811735,Bangalore,2025-08-08T05:59:19.611877,22,Shopping,Payment,192.168.28.66,0
USER_3693,TXN_000015,Debit Card,2,7,1.3545278198928905,Mumbai,2025-08-08T05:59:19.611877,1,Shopping,Payment,192.168.121.27,0
USER_6864,TXN_000016,UPI,1,6,0.8150462236085919,Mumbai,2025-08-08T05:59:19.611877,37,Shopping,Payment,192.168.225.51,0
USER_1663,TXN_000017,UPI,1,6,0.4062699074022983,Mumbai,2025-08-08T05:59:19.611877,12,Shopping,Payment,192.168.254.39,0
USER_8280,TXN_000018,Credit Card,1,8,0.15164172629634592,Mumbai,2025-08-08T05:59:19.611877,2,Shopping,Payment,192.168.130.220,0
USER_9164,TXN_000019,Credit Card,1,3,1.0529876321766736,Kolkata,2025-08-08T05:59:19.611877,44,Shopping,Payment,192.168.218.160,0
USER_5931,TXN_000020,UPI,1,8,0.43269256158935954,Kolkata,2025-08-08T05:59:19.611877,34,Shopping,Payment,192.168.198.214,0
USER_7287,TXN_000021,Credit Card,1,6,1.0741379295072346,Bangalore,2025-08-08T05:59:19.611877,20,Shopping,Payment,192.168.252.187,0
USER_2986,TXN_000022,UPI,1,4,1.0032419065732299,Chennai,2025-08-08T05:59:19.611877,41,Shopping,Payment,192.168.161.168,0
USER_3385,TXN_000023,Credit Card,1,9,0.2588629297368247,Delhi,2025-08-08T05:59:19.611877,35,Shopping,Payment,192.168.7.252,0
USER_9815,TXN_000024,Credit Card,2,1,0.43859320726063233,Chennai,2025-08-08T05:59:19.611877,5,Shopping,Payment,192.168.37.160,0
USER_8400,TXN_000025,UPI,1,3,1.2988540086293294,Mumbai,2025-08-08T05:59:19.611877,24,Shopping,Payment,192.168.116.75,0
USER_6539,TXN_000026,Debit Card,2,4,0.9129612700110364,Mumbai,2025-08-08T05:59:19.611877,35,Shopping,Payment,192.168.153.93,0
